"marker_id","group_id","relationship","evidence_note","source_url"
"COI","METAZOA","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"COI","ARTHROPODS","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"COI","FISH","secondary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"COI","ZOOPLANKTON","secondary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"12S_MT","METAZOA","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"12S_MT","FISH","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"12S_MT","BIRDS","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"ITS_FUNGAL","FUNGI","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"18S","METAZOA","secondary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"18S","FUNGI","secondary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"18S","PROTISTS","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"18S","PHYTOPLANKTON","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"18S","ZOOPLANKTON","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"16S_PROK","BACTERIA","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"16S_PROK","ARCHAEA","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"16S_PROK","PLANT_MICROBIOME","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"16S_MT","METAZOA","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"16S_MT","ARTHROPODS","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"16S_MT","FISH","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"16S_MT","ZOOPLANKTON","secondary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"28S","FUNGI","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"28S","PROTISTS","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"28S","PHYTOPLANKTON","primary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
"28S","METAZOA","secondary","Established or complementary use documented in the 2016–2026 primer compendium; marker membership does not imply uniform primer coverage.","https://github.com/sven9r/primer-atlas/blob/main/docs/marker-targets.md"
