"pair_id","oligo_id","direction"
"MCO","COI_MLCOIINTF","forward"
"MCO","COI_FOL_DEGEN_REV","reverse"
"LERAY_XT","COI_MICOIINTF_XT","forward"
"LERAY_XT","COI_JGHCO2198","reverse"
"ARF","COI_ARF1","forward"
"ARF","COI_FOL_DEGEN_REV","reverse"
"ZBJ_ART","COI_ZBJ_ARTF1C","forward"
"ZBJ_ART","COI_ZBJ_ARTR2C","reverse"
"ZBJ_ART_DEG","COI_ZBJ_ARTF1C_DEG","forward"
"ZBJ_ART_DEG","COI_ZBJ_ARTR2C_DEG","reverse"
"FWH2","COI_FWHF2","forward"
"FWH2","COI_FWHR2N","reverse"
"BF2_BR2","COI_BF2","forward"
"BF2_BR2","COI_BR2","reverse"
"BF1_BR1","COI_BF1","forward"
"BF1_BR1","COI_BR1","reverse"
"FOLMER","COI_LCO1490","forward"
"FOLMER","COI_HCO2198","reverse"
"ANML","COI_LCO1490","forward"
"ANML","COI_CO1_CFMRA","reverse"
"NOPLANT","COI_NOPLANTF_270","forward"
"NOPLANT","COI_MLCOIINTR_W","reverse"
"NOSPID","COI_SPIDPREY_F","forward"
"NOSPID","COI_SPIDPREY_R","reverse"
"VERT","COI_MOD_REPCOI_F","forward"
"VERT","COI_VERTCOI_7216_R","reverse"
"BEEPRIME","COI_BEEPRIMEF","forward"
"BEEPRIME","COI_BEEPRIMER","reverse"
"NOSPI2_LAURELIN","COI_NOSPI2_F","forward"
"NOSPI2_LAURELIN","COI_LAURELIN_R","reverse"
"BF2_BR1","COI_BF2","forward"
"BF2_BR1","COI_BR1","reverse"
"BF1_BR2","COI_BF1","forward"
"BF1_BR2","COI_BR2","reverse"
"BF3_BR2","COI_BF3","forward"
"BF3_BR2","COI_BR2","reverse"
"FWH1","COI_FWHF1","forward"
"FWH1","COI_FWHR1","reverse"
"FWH2_EPTDR2N","COI_FWHF2","forward"
"FWH2_EPTDR2N","COI_EPTDR2N","reverse"
"HEXCOI","COI_HEXCOIF4","forward"
"HEXCOI","COI_HEXCOIR4","reverse"
"BR5_ARR5","COI_B","forward"
"BR5_ARR5","COI_ARR5","reverse"
"F230R","COI_LCO1490","forward"
"F230R","COI_230_R","reverse"
"FISH_F2_R1","COI_FISHF2","forward"
"FISH_F2_R1","COI_FISHR1","reverse"
"MOLLCOI253","COI_MOLLCOI253_F","forward"
"MOLLCOI253","COI_MOLLCOI253_R","reverse"
"ITS1_ITS4","ITS_ITS1","forward"
"ITS1_ITS4","ITS_ITS4","reverse"
"ITS1F_ITS4","ITS_ITS1F","forward"
"ITS1F_ITS4","ITS_ITS4","reverse"
"ITS1F_ITS4B","ITS_ITS1F","forward"
"ITS1F_ITS4B","ITS_ITS4B","reverse"
"ITS3_ITS4","ITS_ITS3","forward"
"ITS3_ITS4","ITS_ITS4","reverse"
"FITS7_ITS4","ITS_FITS7","forward"
"FITS7_ITS4","ITS_ITS4","reverse"
"GITS7_ITS4","ITS_GITS7","forward"
"GITS7_ITS4","ITS_ITS4","reverse"
"ITS86F_ITS4","ITS_ITS86F","forward"
"ITS86F_ITS4","ITS_ITS4","reverse"
"ITS1F_LR21","ITS_ITS1F","forward"
"ITS1F_LR21","ITS_LR21","reverse"
