"pair_id","facet_type","facet_value"
"ANML","application","barcoding"
"ANML","application","edna"
"ANML","application","bulk_community"
"ANML","target_taxon","Animals"
"ANML","design_intent","broad"
"ARF","application","bulk_community"
"ARF","target_taxon","Arthropoda"
"ARF","environment","terrestrial"
"ARF","design_intent","broad"
"BEEPRIME","application","barcoding"
"BEEPRIME","application","edna"
"BEEPRIME","application","bulk_community"
"BEEPRIME","target_taxon","Bees (Apiformes)"
"BEEPRIME","environment","terrestrial"
"BEEPRIME","design_intent","target_enriched"
"BF1_BR1","application","barcoding"
"BF1_BR1","application","edna"
"BF1_BR1","application","bulk_community"
"BF1_BR1","target_taxon","Freshwater invertebrates"
"BF1_BR1","environment","freshwater"
"BF1_BR1","design_intent","target_enriched"
"BF1_BR2","application","barcoding"
"BF1_BR2","application","edna"
"BF1_BR2","application","bulk_community"
"BF1_BR2","target_taxon","Freshwater macroinvertebrates"
"BF1_BR2","environment","freshwater"
"BF1_BR2","design_intent","target_enriched"
"BF2_BR1","application","barcoding"
"BF2_BR1","application","edna"
"BF2_BR1","application","bulk_community"
"BF2_BR1","target_taxon","Freshwater macroinvertebrates"
"BF2_BR1","environment","freshwater"
"BF2_BR1","design_intent","target_enriched"
"BF2_BR2","application","barcoding"
"BF2_BR2","application","edna"
"BF2_BR2","application","bulk_community"
"BF2_BR2","target_taxon","Freshwater invertebrates"
"BF2_BR2","environment","freshwater"
"BF2_BR2","design_intent","target_enriched"
"BF3_BR2","application","bulk_community"
"BF3_BR2","target_taxon","Terrestrial arthropods"
"BF3_BR2","environment","terrestrial"
"BF3_BR2","design_intent","target_enriched"
"BR5_ARR5","application","barcoding"
"BR5_ARR5","application","edna"
"BR5_ARR5","application","bulk_community"
"BR5_ARR5","target_taxon","Freshwater benthic macroinvertebrates"
"BR5_ARR5","environment","freshwater"
"BR5_ARR5","design_intent","target_enriched"
"F230R","application","barcoding"
"F230R","application","edna"
"F230R","application","bulk_community"
"F230R","target_taxon","Metazoan invertebrates / Arthropods"
"F230R","environment","freshwater"
"F230R","environment","terrestrial"
"F230R","design_intent","target_enriched"
"FISH_F2_R1","application","barcoding"
"FISH_F2_R1","application","edna"
"FISH_F2_R1","target_taxon","Fishes"
"FISH_F2_R1","design_intent","target_enriched"
"FOLMER","application","barcoding"
"FOLMER","target_taxon","Metazoa"
"FOLMER","design_intent","broad"
"FWH1","application","diet"
"FWH1","target_taxon","Arthropods and predator DNA"
"FWH1","environment","terrestrial"
"FWH1","environment","host_associated"
"FWH1","design_intent","target_enriched"
"FWH2","application","barcoding"
"FWH2","application","edna"
"FWH2","application","bulk_community"
"FWH2","target_taxon","Freshwater invertebrates"
"FWH2","environment","freshwater"
"FWH2","design_intent","target_enriched"
"FWH2_EPTDR2N","application","edna"
"FWH2_EPTDR2N","target_taxon","Benthic macroinvertebrates"
"FWH2_EPTDR2N","environment","freshwater"
"FWH2_EPTDR2N","design_intent","target_enriched"
"HEXCOI","application","barcoding"
"HEXCOI","application","bulk_community"
"HEXCOI","target_taxon","Hexapoda"
"HEXCOI","environment","terrestrial"
"HEXCOI","design_intent","target_enriched"
"LERAY_XT","application","barcoding"
"LERAY_XT","application","edna"
"LERAY_XT","application","bulk_community"
"LERAY_XT","target_taxon","Eukaryota / Metazoa"
"LERAY_XT","design_intent","broad"
"MCO","application","barcoding"
"MCO","application","bulk_community"
"MCO","target_taxon","Metazoa / Arthropoda"
"MCO","environment","terrestrial"
"MCO","design_intent","broad"
"MOLLCOI253","application","edna"
"MOLLCOI253","target_taxon","Marine mollusks"
"MOLLCOI253","environment","marine"
"MOLLCOI253","design_intent","target_enriched"
"NOPLANT","application","bulk_community"
"NOPLANT","target_taxon","Arthropoda"
"NOPLANT","environment","terrestrial"
"NOPLANT","environment","host_associated"
"NOPLANT","design_intent","exclusion_blocking"
"NOSPI2_LAURELIN","application","diet"
"NOSPI2_LAURELIN","target_taxon","Arthropod prey"
"NOSPI2_LAURELIN","environment","terrestrial"
"NOSPI2_LAURELIN","environment","host_associated"
"NOSPI2_LAURELIN","design_intent","exclusion_blocking"
"NOSPID","application","diet"
"NOSPID","target_taxon","Arthropod prey"
"NOSPID","environment","terrestrial"
"NOSPID","environment","host_associated"
"NOSPID","design_intent","exclusion_blocking"
"VERT","application","barcoding"
"VERT","application","diet"
"VERT","target_taxon","Vertebrata"
"VERT","environment","host_associated"
"VERT","design_intent","target_enriched"
"ZBJ_ART","application","barcoding"
"ZBJ_ART","application","diet"
"ZBJ_ART","target_taxon","Arthropoda"
"ZBJ_ART","environment","terrestrial"
"ZBJ_ART","environment","host_associated"
"ZBJ_ART","design_intent","target_enriched"
"ZBJ_ART_DEG","application","barcoding"
"ZBJ_ART_DEG","application","diet"
"ZBJ_ART_DEG","target_taxon","Arthropoda"
"ZBJ_ART_DEG","environment","terrestrial"
"ZBJ_ART_DEG","environment","host_associated"
"ZBJ_ART_DEG","design_intent","target_enriched"
"ITS1_ITS4","application","barcoding"
"ITS1_ITS4","application","bulk_community"
"ITS1_ITS4","target_taxon","Fungi"
"ITS1_ITS4","environment","terrestrial"
"ITS1_ITS4","environment","host_associated"
"ITS1_ITS4","design_intent","broad"
"ITS1F_ITS4","application","barcoding"
"ITS1F_ITS4","application","bulk_community"
"ITS1F_ITS4","target_taxon","Fungi"
"ITS1F_ITS4","environment","terrestrial"
"ITS1F_ITS4","environment","host_associated"
"ITS1F_ITS4","design_intent","target_enriched"
"ITS1F_ITS4B","application","barcoding"
"ITS1F_ITS4B","application","bulk_community"
"ITS1F_ITS4B","target_taxon","Fungi"
"ITS1F_ITS4B","environment","terrestrial"
"ITS1F_ITS4B","environment","host_associated"
"ITS1F_ITS4B","design_intent","target_enriched"
"ITS3_ITS4","application","barcoding"
"ITS3_ITS4","target_taxon","Fungi"
"ITS3_ITS4","environment","terrestrial"
"ITS3_ITS4","environment","host_associated"
"ITS3_ITS4","design_intent","broad"
"FITS7_ITS4","application","bulk_community"
"FITS7_ITS4","application","edna"
"FITS7_ITS4","target_taxon","Fungi"
"FITS7_ITS4","environment","terrestrial"
"FITS7_ITS4","environment","host_associated"
"FITS7_ITS4","design_intent","target_enriched"
"GITS7_ITS4","application","bulk_community"
"GITS7_ITS4","application","edna"
"GITS7_ITS4","target_taxon","Fungi"
"GITS7_ITS4","environment","terrestrial"
"GITS7_ITS4","environment","host_associated"
"GITS7_ITS4","design_intent","target_enriched"
"ITS86F_ITS4","application","bulk_community"
"ITS86F_ITS4","application","edna"
"ITS86F_ITS4","target_taxon","Fungi"
"ITS86F_ITS4","environment","terrestrial"
"ITS86F_ITS4","environment","host_associated"
"ITS86F_ITS4","design_intent","target_enriched"
"ITS1F_LR21","application","barcoding"
"ITS1F_LR21","target_taxon","Fungi"
"ITS1F_LR21","environment","terrestrial"
"ITS1F_LR21","environment","host_associated"
"ITS1F_LR21","design_intent","target_enriched"
