"pair_id","pair_label","marker_id","reported_amplicon_bp","original_use_case","target_summary","reported_ta_c","catalog_status"
"ANML","ANML","COI",236,"eDNA / broad metabarcoding","Animals",48,"curated"
"ARF","ARF1 + Fol-degen","COI",467,"bulk arthropods","Arthropoda",46,"curated"
"BEEPRIME","BeePrime","COI",252,"bee eDNA metabarcoding","Bees (Apiformes)",50,"curated"
"BF1_BR1","BF1 + BR1","COI",257,"freshwater metabarcoding","Freshwater invertebrates",50,"curated"
"BF1_BR2","BF1 + BR2","COI",316,"freshwater metabarcoding","Freshwater macroinvertebrates",50,"curated"
"BF2_BR1","BF2 + BR1","COI",322,"freshwater metabarcoding","Freshwater macroinvertebrates",50,"curated"
"BF2_BR2","BF2 + BR2","COI",421,"freshwater metabarcoding","Freshwater invertebrates",50,"curated"
"BF3_BR2","BF3 + BR2","COI",418,"bulk arthropods","Terrestrial arthropods",46,"curated"
"BR5_ARR5","BR5","COI",310,"freshwater metabarcoding","Freshwater benthic macroinvertebrates",46,"curated"
"F230R","F230R","COI",229,"freshwater metabarcoding","Metazoan invertebrates / Arthropods",46,"curated"
"FISH_F2_R1","FishF2 + FishR1","COI",655,"fish barcoding / eDNA","Fishes",52,"curated"
"FOLMER","Folmer barcode","COI",710,"regular barcoding","Metazoa",45,"curated"
"FWH1","fwh1","COI",178,"diet / degraded DNA","Arthropods and predator DNA",45,"curated"
"FWH2","fwh2","COI",254,"freshwater metabarcoding","Freshwater invertebrates",58,"curated"
"FWH2_EPTDR2N","fwh2 + EPTDr2n","COI",142,"freshwater water eDNA","Benthic macroinvertebrates",48,"curated"
"HEXCOI","HexCOI","COI",322,"insect metabarcoding","Hexapoda",45,"curated"
"LERAY_XT","Leray-XT","COI",365,"eDNA / broad metabarcoding","Eukaryota / Metazoa",45,"curated"
"MCO","Leray 313","COI",365,"broad metabarcoding","Metazoa / Arthropoda",46,"curated"
"MOLLCOI253","MollCOI253","COI",253,"mollusk eDNA","Marine mollusks",57,"curated"
"NOPLANT","NoPlant","COI",116,"plant-associated arthropods","Arthropoda",46,"curated"
"NOSPI2_LAURELIN","NoSpi2 + Laurelin","COI",110,"spider gut content","Arthropod prey",,"curated"
"NOSPID","Spidprey","COI",115,"spider gut content","Arthropod prey",45,"curated"
"VERT","Vertebrate COI","COI",244,"vertebrate diet metabarcoding","Vertebrata",48,"curated"
"ZBJ_ART","ZBJ-Art","COI",211,"diet metabarcoding","Arthropoda",46,"curated"
"ZBJ_ART_DEG","ZBJ-Art degenerate","COI",211,"diet metabarcoding","Arthropoda",46,"curated"
"ITS1_ITS4","ITS1 + ITS4","ITS_FUNGAL",,"fungal ITS barcoding / metabarcoding","Fungi",55,"pilot"
"ITS1F_ITS4","ITS1F + ITS4","ITS_FUNGAL",,"fungal ITS barcoding / metabarcoding","Fungi",55,"pilot"
"ITS1F_ITS4B","ITS1F + ITS4B","ITS_FUNGAL",,"fungal ITS barcoding / metabarcoding","Fungi",55,"pilot"
"ITS3_ITS4","ITS3 + ITS4","ITS_FUNGAL",,"fungal ITS barcoding / metabarcoding","Fungi",55,"pilot"
"FITS7_ITS4","fITS7 + ITS4","ITS_FUNGAL",,"fungal ITS barcoding / metabarcoding","Fungi",55,"pilot"
"GITS7_ITS4","gITS7 + ITS4","ITS_FUNGAL",,"fungal ITS barcoding / metabarcoding","Fungi",55,"pilot"
"ITS86F_ITS4","ITS86F + ITS4","ITS_FUNGAL",,"fungal ITS barcoding / metabarcoding","Fungi",55,"pilot"
"ITS1F_LR21","ITS1F + LR21","ITS_FUNGAL",,"fungal ITS barcoding / metabarcoding","Fungi",55,"pilot"
