"key","category","short_citation","title","year","doi","url","note"
"primer_sheet","data","S. Weber laboratory Primer List","Primer List metabarcoding tab",2026,"","https://docs.google.com/spreadsheets/d/1jIGCutiNClf-SXPmGK0i4-3TvWs7u_jqmjtBnsqxyLs","Source snapshot consulted 2026-07-28"
"elbrecht2017","method","Elbrecht & Leese 2017","PrimerMiner: an R package for development and in silico validation of DNA metabarcoding primers",2017,"10.1111/2041-210X.12687","https://doi.org/10.1111/2041-210X.12687","PrimerMiner workflow and mismatch scoring"
"dryad2017","data","Elbrecht & Leese 2017 data","PrimerMiner COI reference alignments for 15 freshwater groups",2017,"10.5061/dryad.4c3g9","https://doi.org/10.5061/dryad.4c3g9","CC0 reference alignments"
"stadhouders2010","method","Stadhouders et al. 2010","The effect of primer-template mismatches on the detection and quantification of nucleic acids using the 5-prime nuclease assay",2010,"10.2353/jmoldx.2010.090035","https://doi.org/10.2353/jmoldx.2010.090035","Position and mismatch-type evidence; controlled qPCR context"
"santalucia1998","method","SantaLucia 1998","A unified view of polymer dumbbell and oligonucleotide DNA nearest-neighbor thermodynamics",1998,"10.1073/pnas.95.4.1460","https://doi.org/10.1073/pnas.95.4.1460","Thermodynamic background"
"rychlik1990","method","Rychlik et al. 1990","Optimization of the annealing temperature for DNA amplification in vitro",1990,"10.1093/nar/18.21.6409","https://doi.org/10.1093/nar/18.21.6409","Annealing-temperature background"
"folmer1994","primer","Folmer et al. 1994","DNA primers for amplification of mitochondrial cytochrome c oxidase subunit I from diverse metazoan invertebrates",1994,"","https://www.mbari.org/wp-content/uploads/2016/01/Folmer_94MMBB.pdf","LCO1490 and HCO2198"
"leray2013","primer","Leray et al. 2013","A new versatile primer set targeting a short fragment of the mitochondrial COI region for metabarcoding metazoan diversity",2013,"10.1186/1742-9994-10-34","https://doi.org/10.1186/1742-9994-10-34","mlCOIintF"
"yu2012","primer","Yu et al. 2012","Biodiversity soup: metabarcoding of arthropods for rapid biodiversity assessment and biomonitoring",2012,"10.1111/j.2041-210X.2012.00198.x","https://doi.org/10.1111/j.2041-210X.2012.00198.x","Fol-degen primers"
"zeale2011","primer","Zeale et al. 2011","Taxon-specific PCR for DNA barcoding arthropod prey in bat faeces",2011,"10.1111/j.1755-0998.2010.02920.x","https://doi.org/10.1111/j.1755-0998.2010.02920.x","ZBJ-Art primers"
"gibson2014","primer","Gibson et al. 2014","Simultaneous assessment of the macrobiome and microbiome in a bulk sample of tropical arthropods",2014,"10.1073/pnas.1406468111","https://doi.org/10.1073/pnas.1406468111","ARF1"
"geller2013","primer","Geller et al. 2013","Redesign of PCR primers for mitochondrial cytochrome c oxidase subunit I for marine invertebrates",2013,"10.1111/1755-0998.12138","https://doi.org/10.1111/1755-0998.12138","jgHCO2198"
"wangensteen2018","primer","Wangensteen et al. 2018","DNA metabarcoding of littoral hard-bottom communities: high diversity and database gaps revealed by two molecular markers",2018,"10.7717/peerj.4705","https://doi.org/10.7717/peerj.4705","mICOIintF-XT"
"vamos2017","primer","Vamos et al. 2017","Short COI markers for freshwater macroinvertebrate metabarcoding",2017,"10.3897/mbmg.1.14625","https://doi.org/10.3897/mbmg.1.14625","fwhF2 and fwhR2n"
"elbrecht2017b","primer","Elbrecht & Leese 2017","Validation and development of COI metabarcoding primers for freshwater macroinvertebrate bioassessment",2017,"10.3389/fenvs.2017.00011","https://doi.org/10.3389/fenvs.2017.00011","BF and BR primer families"
"jusino2019","primer","Jusino et al. 2019","An improved method for utilizing high-throughput amplicon sequencing to determine the diets of insectivorous animals",2019,"10.1111/1755-0998.12899","https://doi.org/10.1111/1755-0998.12899","CO1-CFMRa and ANML"
"krehenwinkel2022","primer","Krehenwinkel et al. 2022","The bug in a teacup—monitoring arthropod–plant associations with environmental DNA from dried plant material",2022,"10.1098/rsbl.2022.0091","https://doi.org/10.1098/rsbl.2022.0091","NoPlant primer set"
