"family","subfamily","n_centroids","source_records_represented","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_mean_penalty","pair_p90_penalty","weighted_mean_pair_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"Andrenidae","Andreninae",166,230,151,0.909638554216867,22.3,7.9,47.5,70.0468874172185,168.4,70.0827230046949,0,0.105960264900662
"Andrenidae","Panurginae",2,2,2,1,0,2.8,2.8,2.8,5.04,2.8,0.5,0
"Apidae","Apinae",89,469,74,0.831460674157303,0,0,10.2,65.0452702702703,142.09,16.4600970873786,0.378378378378378,0.0405405405405405
"Apidae","Nomadinae",33,37,31,0.93939393939394,63.2,0,63.2,72.4322580645161,84.75,71.9176470588235,0,0.032258064516129
"Apidae","Xylocopinae",12,68,12,1,12.4,0,19.125,32.4458333333333,84.405,17.0441176470588,0,0
"Colletidae","Colletinae",7,7,6,0.857142857142857,0,10.2,10.2,21.0416666666667,42.725,21.0416666666667,0,0
"Colletidae","Hylaeinae",18,44,18,1,5.6,5.6,17.35,37.3422222222222,131.545,68.8818181818182,0.222222222222222,0
"Halictidae","Halictinae",91,175,79,0.868131868131868,0,13,21.4,52.3806329113924,149.75,45.7383850931677,0.0886075949367089,0.0632911392405063
"Halictidae","Rophitinae",5,5,5,1,89,45.15,91.8,145.34,263.63,145.34,0,0.4
"Megachilidae","Megachilinae",166,267,162,0.975903614457831,89.75,0,91.825,104.759012345679,191.3,110.204410646388,0.00617283950617284,0.0246913580246914
"Melittidae","Melittinae",1,1,1,1,24.15,241.55,265.7,265.7,265.7,265.7,0,0
