genus,n_empirical_tested,n_empirical_detected,empirical_detection_fraction,source_doi
Andrena,1,1,1.0,10.3897/mbmg.10.183708
Anthidium,1,1,1.0,10.3897/mbmg.10.183708
Anthophora,1,1,1.0,10.3897/mbmg.10.183708
Apis,1,1,1.0,10.3897/mbmg.10.183708
Bombus,6,6,1.0,10.3897/mbmg.10.183708
Ceratina,2,0,0.0,10.3897/mbmg.10.183708
Chelostoma,1,1,1.0,10.3897/mbmg.10.183708
Coelioxys,2,2,1.0,10.3897/mbmg.10.183708
Colletes,1,1,1.0,10.3897/mbmg.10.183708
Eucera,2,1,0.5,10.3897/mbmg.10.183708
Halictus,2,2,1.0,10.3897/mbmg.10.183708
Heriades,1,1,1.0,10.3897/mbmg.10.183708
Hylaeus,1,1,1.0,10.3897/mbmg.10.183708
Lasioglossum,2,2,1.0,10.3897/mbmg.10.183708
Megachile,1,1,1.0,10.3897/mbmg.10.183708
Melitta,1,1,1.0,10.3897/mbmg.10.183708
Nomada,1,1,1.0,10.3897/mbmg.10.183708
Osmia,2,2,1.0,10.3897/mbmg.10.183708
Panurgus,1,1,1.0,10.3897/mbmg.10.183708
Seladonia,1,1,1.0,10.3897/mbmg.10.183708
Sphecodes,1,1,1.0,10.3897/mbmg.10.183708
Stelis,2,2,1.0,10.3897/mbmg.10.183708
Systropha,1,1,1.0,10.3897/mbmg.10.183708
Xylocopa,2,0,0.0,10.3897/mbmg.10.183708
