"lineage_group","family","n_centroids","source_records_represented","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_mean_penalty","pair_p90_penalty","weighted_mean_pair_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"Aculeate wasp","Chrysididae",128,224,128,1,591.75,19.62,644.85,681.847109375,916.42,674.2515625,0,0.9765625
"Aculeate wasp","Crabronidae",83,237,81,0.975903614457831,65.5,5.6,91.7,157.59975308642,330.5,135.796936170213,0,0.185185185185185
"Aculeate wasp","Pompilidae",50,133,20,0.4,231.8,43.285,296.1,316.9445,468.675,372.918550724638,0,0.35
"Aculeate wasp","Sphecidae",17,30,17,1,498.2,0,498.2,338.145294117647,599.5,401.948,0,0.529411764705882
"Aculeate wasp","Vespidae",67,261,67,1,55.2,40.8,115.2,140.744029850746,288.53,162.696973180077,0,0.134328358208955
"Ant","Formicidae",602,4914,490,0.813953488372093,75.675,17.37,158.75,209.844897959184,417.432,140.077470212766,0,0.275510204081633
"Bee","Andrenidae",168,232,153,0.910714285714286,22.3,5.6,43.77,69.1678431372549,165.4,69.4568372093023,0.0065359477124183,0.104575163398693
"Bee","Apidae",134,574,117,0.873134328358209,11.75,0,20.25,63.6589743589744,125.16,20.2057587548638,0.239316239316239,0.0341880341880342
"Bee","Colletidae",25,51,24,0.96,0,10.2,14.275,33.2670833333333,110.425,63.141,0.166666666666667,0
"Bee","Halictidae",96,180,84,0.875,0,15.8,21.65,57.9139285714286,169.95,48.7384337349398,0.0833333333333333,0.0833333333333333
"Bee","Megachilidae",166,267,162,0.975903614457831,89.75,0,91.825,104.759012345679,191.3,110.204410646388,0.00617283950617284,0.0246913580246914
"Bee","Melittidae",1,1,1,1,24.15,241.55,265.7,265.7,265.7,265.7,0,0
"Other Hymenoptera","Andrenidae",14,21,14,1,66.9,15.8,72,95.935,164.345,84.6066666666667,0,0.0714285714285714
"Other Hymenoptera","Aphelinidae",40,293,13,0.325,45.3,10.2,65.5,95.1523076923077,200.61,46.5238709677419,0,0.230769230769231
"Other Hymenoptera","Apidae",22,22,20,0.909090909090909,132.9,10.2,140.8,112.914,232.835,112.914,0.1,0.1
"Other Hymenoptera","Athaliidae",3,13,3,1,656.65,217.85,874.5,828.833333333333,878.98,765.238461538462,0,1
"Other Hymenoptera","Aulacidae",1,1,1,1,501.2,15.8,517,517,517,517,0,0
"Other Hymenoptera","Bethylidae",5,20,5,1,1320.3,8.9,1320.3,1025.97,1765.78,1423.555,0,0.6
"Other Hymenoptera","Braconidae",1723,4117,1674,0.971561230412072,571.6,10.2,604.2,703.593327359618,1283.785,673.229577360357,0,0.958781362007168
"Other Hymenoptera","Ceraphronidae",10,32,9,0.9,104,129.37,233.37,362.65,731.42,415.476774193548,0,0.222222222222222
"Other Hymenoptera","Chalcididae",11,16,7,0.636363636363636,65.5,0,65.5,66.3,67.74,66.2,0,0
"Other Hymenoptera","Cynipidae",16,180,14,0.875,65.5,212.25,245.15,452.162142857143,1529.32,225.634943820225,0,0.642857142857143
"Other Hymenoptera","Diapriidae",32,115,7,0.21875,415.4,10.2,439.8,452.871428571429,925.14,328.219047619048,0,0.571428571428571
"Other Hymenoptera","Dryinidae",14,277,14,1,293.9,23.2,346.5,328.385714285714,427.877,382.305342960289,0,0.928571428571429
"Other Hymenoptera","Encyrtidae",24,120,3,0.125,77.9,18.45,95.25,160.366666666667,265.93,102.959375,0,0.333333333333333
"Other Hymenoptera","Eulophidae",197,466,71,0.360406091370558,129.3,5.6,217.2,329.270704225352,595.45,258.567548076923,0,0.535211267605634
"Other Hymenoptera","Eupelmidae",17,81,9,0.529411764705882,65.5,75.25,253,227.835555555556,322.65,222.464137931034,0,0.666666666666667
"Other Hymenoptera","Eurytomidae",19,42,4,0.210526315789474,94.025,29.38,119.125,121.1875,156.45,97.1785714285714,0,0
"Other Hymenoptera","Figitidae",24,45,20,0.833333333333333,65.5,17.37,142.975,167.6915,303.36,146.781463414634,0,0.4
"Other Hymenoptera","Halictidae",8,18,7,0.875,5.6,7.9,13.45,63.5428571428571,173.21,34.55,0.428571428571429,0
"Other Hymenoptera","Ichneumonidae",1288,5039,1251,0.971273291925466,25.8,5.6,45.4,99.2049080735412,243.65,97.4175543916196,0,0.132693844924061
"Other Hymenoptera","Megachilidae",13,14,12,0.923076923076923,50.95,0,78,85.1833333333333,152.36,88.2538461538462,0,0.0833333333333333
"Other Hymenoptera","Megaspilidae",9,18,8,0.888888888888889,275,26,304.2,258.20625,309.29,228.682352941176,0,0
"Other Hymenoptera","Megastigmidae",3,8,1,0.333333333333333,45.3,0,45.3,45.3,45.3,45.3,0,0
"Other Hymenoptera","Mymaridae",451,2187,128,0.283813747228381,171.35,0,192.2,232.599375,264.489,207.797932739862,0,0.078125
"Other Hymenoptera","Ormyridae",2,2,0,0,,146.55,,,,,,
"Other Hymenoptera","Perilampidae",4,6,2,0.5,75.75,2.8,75.75,75.75,83.95,70.625,0,0
"Other Hymenoptera","Platygastridae",228,982,220,0.964912280701754,65.5,40.8,126.225,178.019045454545,307.52,179.444117043121,0,0.322727272727273
"Other Hymenoptera","Proctotrupidae",2,9,0,0,,159.55,,,,,,
"Other Hymenoptera","Pteromalidae",176,436,88,0.5,75.3,0,89.55,181.705795454545,365.4,136.425132075472,0,0.409090909090909
"Other Hymenoptera","Roproniidae",1,1,0,0,,10.2,,,,,,
"Other Hymenoptera","Sapygidae",4,4,4,1,66.95,44.26,121.75,144.8675,256.405,144.8675,0,0.25
"Other Hymenoptera","Scelionidae",443,2619,433,0.977426636568849,85.3,10.2,97.07,158.89129330254,337.95,142.18412975913,0,0.10161662817552
"Other Hymenoptera","Sclerogibbidae",3,7,3,1,770.3,10.2,780.5,794.366666666667,813.78,786.442857142857,0,1
"Other Hymenoptera","Sierolomorphidae",1,8,1,1,241.75,10.2,251.95,251.95,251.95,251.95,0,1
"Other Hymenoptera","Tanaostigmatidae",1,1,0,0,,0,,,,,,
"Other Hymenoptera","Torymidae",36,65,10,0.277777777777778,59.9,0,71.7,88.287,135.953,104.327692307692,0,0.1
"Other Hymenoptera","Trichogrammatidae",94,445,39,0.414893617021277,77.9,0,85.75,145.534615384615,166.82,104.753322259136,0,0.102564102564103
"Other Hymenoptera","Xyelidae",9,21,9,1,612.1,5.6,612.1,658.661111111111,764.6,670.226190476191,0,1
"Sawfly or woodwasp","Argidae",8,15,8,1,48.2,0,67.3,140.7375,280.545,100.936666666667,0,0.125
"Sawfly or woodwasp","Cephidae",2,2,2,1,51.25,5.6,56.85,56.85,56.85,56.85,0,0
"Sawfly or woodwasp","Cimbicidae",10,14,9,0.9,646.9,5.6,652.5,659.06,672.156,660.384,0,1
"Sawfly or woodwasp","Diprionidae",2,26,2,1,308.25,45.15,353.4,353.4,353.4,353.4,0,1
"Sawfly or woodwasp","Pamphiliidae",5,6,5,1,646.9,212.25,870.9,825.9,909.03,833.4,0,1
"Sawfly or woodwasp","Pergidae",3,12,3,1,651.6,18.45,683.67,687.573333333333,703.934,688.8675,0,1
"Sawfly or woodwasp","Siricidae",7,7,7,1,473.15,40.8,513.95,509.421428571429,565.4,509.421428571428,0,0
"Sawfly or woodwasp","Tenthredinidae",274,674,258,0.941605839416058,673.1,5.6,682.125,700.583333333333,846.5,701.076167938931,0,0.976744186046512
"Sawfly or woodwasp","Xiphydriidae",1,1,1,1,39.6,477.25,516.85,516.85,516.85,516.85,0,1
