"field","value"
"source_article","Gurten et al. 2026"
"source_doi","10.3897/mbmg.10.183708"
"source_supplement","Supplementary material 5: ClusteredReferences.fasta"
"source_supplement_doi","10.3897/mbmg.10.183708.suppl5"
"source_access_date","2026-07-28"
"source_alignment_centroids","67352"
"source_alignment_width","801"
"underlying_ncbi_sequences_reported_by_authors","316254"
"authors_ncbi_access_date","May 2023"
"clustering_identity","0.995"
"bee_centroids_mapped","590"
"bee_genera_in_supplement","42"
"bee_genera_with_scored_centroid_labels","30"
"bee_families_in_supplement","6"
"bee_species_listed_in_supplement","1295"
"beeprime_forward_alignment_columns","172-201"
"beeprime_reverse_alignment_columns","401-423"
"penalty_model","PrimerMiner 0.22 Position_v1 + Type_v1 + adjacency 2"
"interpretation","Relative in-silico mismatch penalties; lower is a closer predicted fit. Not a PCR probability or universal amplification threshold."
