"pair_id","pair_label","order","n_centroids","source_records_represented","n_forward_scorable","forward_scorable_fraction","n_reverse_scorable","reverse_scorable_fraction","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_mean_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable","reference_suitable","reference_suitability","reference_limitation_reason"
"ANML","ANML","Amblypygi",3,3,0,0,3,1,0,0,,95.65,,,,,,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"ANML","ANML","Amphipoda",376,1221,0,0,353,0.938829787234043,0,0,,154.4,,,,,,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"ANML","ANML","Anostraca",4,30,0,0,4,1,0,0,,122.55,,,,,,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"ANML","ANML","Araneae",2981,10232,1,0.000335457900033546,2873,0.963770546796377,1,0.000335457900033546,146.4,104.5,231.3,231.3,231.3,0,1,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"ANML","ANML","Archaeognatha",3,47,0,0,3,1,0,0,,230,,,,,,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"ANML","ANML","Arguloida",5,10,0,0,5,1,0,0,,181.55,,,,,,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"ANML","ANML","Balanomorpha",8,13,0,0,8,1,0,0,,257.8,,,,,,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"ANML","ANML","Blattodea",80,288,40,0.5,80,1,40,0.5,208.3,209.5,456.95,424.9375,456.95,0,0.9,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"ANML","ANML","Calanoida",99,343,0,0,95,0.95959595959596,0,0,,136.85,,,,,,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"ANML","ANML","Chordeumatida",10,22,0,0,10,1,0,0,,172.625,,,,,,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"ANML","ANML","Coleoptera",2081,7281,20,0.00961076405574243,2028,0.974531475252283,20,0.00961076405574243,131.3,60.2,179.3,187.6425,299.4,0,0.2,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
