"pair_id","pair_label","n_centroids","source_records_represented","n_forward_scorable","forward_scorable_fraction","n_reverse_scorable","reverse_scorable_fraction","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_mean_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable","reference_suitable","reference_suitability","reference_limitation_reason"
"ANML","ANML",67352,315347,287,0.00426119491626084,66051,0.980683572870887,287,0.00426119491626084,131.95,67.15,217.65,420.710801393728,474.13,0.00348432055749129,0.439024390243902,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"ARF","ARF1 + Fol-degen",67352,315347,66131,0.981871362394584,1790,0.026576790592707,1617,0.0240081957477135,0,0,0,97.7035188620911,38.22,0.609771181199753,0.0309214594928881,FALSE,"binding-region incomplete","Only 1617/67352 centroids (2.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"BEEPRIME","BeePrime",67352,315347,61762,0.917003207031714,66906,0.993378073405393,61421,0.911940254186958,624.5,11.77,659.3,602.754051220267,937.89,0.000797772748734146,0.751355399619023,TRUE,"usable",""
"BF1_BR1","BF1 + BR1",67352,315347,66941,0.99389773132201,56605,0.840435324860435,56375,0.837020429979808,0,0,0,141.231559201777,469.3,0.511893569844789,0.0938891352549889,TRUE,"usable",""
"BF1_BR2","BF1 + BR2",67352,315347,66941,0.99389773132201,1821,0.0270370590331393,1812,0.0269034327117235,0,0,19.62,80.8982891832228,87.02,0.306843267108168,0.0242825607064018,FALSE,"binding-region incomplete","Only 1812/67352 centroids (2.7%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"BF2_BR1","BF2 + BR1",67352,315347,66235,0.983415488775389,56605,0.840435324860435,55607,0.825617650552322,0,0,0,156.681255237647,655.000000000004,0.639973384645818,0.0963008254356466,TRUE,"usable",""
"BF2_BR2","BF2 + BR2",67352,315347,66235,0.983415488775389,1821,0.0270370590331393,1648,0.0244684641881459,0,0,0,119.69083737864,142.4,0.530946601941748,0.0309466019417476,FALSE,"binding-region incomplete","Only 1648/67352 centroids (2.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"BF3_BR2","BF3 + BR2",67352,315347,66215,0.983118541394465,1821,0.0270370590331393,1649,0.0244833115571921,0,0,0,114.135500303214,112.1,0.602183141297756,0.094602789569436,FALSE,"binding-region incomplete","Only 1649/67352 centroids (2.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"BR5_ARR5","BR5",67352,315347,66215,0.983118541394465,59288,0.880270816011403,58274,0.865215583798551,0,0,0,154.793527645256,187.6,0.801283591310018,0.0983972268936404,TRUE,"usable",""
"F230R","F230R",67352,315347,287,0.00426119491626084,66353,0.985167478322841,287,0.00426119491626084,131.95,0,138.65,282.887108013937,353.9,0.048780487804878,0.104529616724739,FALSE,"binding-region incomplete","Only 287/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"FISH_F2_R1","FishF2 + FishR1",67352,315347,302,0.00448390545195391,1790,0.026576790592707,125,0.00185592113077563,248.4,140.05,429.25,708.4836,716.09,0,0.968,FALSE,"binding-region incomplete","Only 125/67352 centroids (0.2%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"FOLMER","Folmer barcode",67352,315347,287,0.00426119491626084,1790,0.026576790592707,113,0.00167775270222117,131.95,96.65,379.6,613.657522123894,525.66,0,0.185840707964602,FALSE,"binding-region incomplete","Only 113/67352 centroids (0.2%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"FWH1","fwh1",67352,315347,289,0.00429088965435325,66086,0.981203230787504,289,0.00429088965435325,0,0,7.85,163.332352941177,125.95,0.484429065743945,0.0380622837370242,FALSE,"binding-region incomplete","Only 289/67352 centroids (0.4%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"FWH2","fwh2",67352,315347,66800,0.991804252286495,59288,0.880270816011403,58971,0.875564200023756,0,0,41.87,228.946980888908,428.95,0.317257635108782,0.222177002255346,TRUE,"usable",""
"FWH2_EPTDR2N","fwh2 + EPTDr2n",67352,315347,66800,0.991804252286495,66107,0.981515025537475,65626,0.97437344102625,0,228.95,238.1,534.008387986466,1543.2,0.0638618840093865,0.166824124584768,TRUE,"usable",""
"HEXCOI","HexCOI",67352,315347,66251,0.983653046680128,59145,0.878147642237796,58145,0.86330027319159,0,0,0,130.42912958982,407.051999999996,0.686714248860607,0.0384555851749935,TRUE,"usable",""
"MCO","Leray 313",67352,315347,66800,0.991804252286495,1790,0.026576790592707,1781,0.0264431642712911,18.2,0,40.3,108.826372824256,196.1,0.150477259966311,0.135317237507019,FALSE,"binding-region incomplete","Only 1781/67352 centroids (2.6%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"LERAY_XT","Leray-XT",67352,315347,66800,0.991804252286495,1790,0.026576790592707,1781,0.0264431642712911,6.45,0,18.22,85.66729365525,174.45,0.203256597417181,0.135317237507019,FALSE,"binding-region incomplete","Only 1781/67352 centroids (2.6%) span both primer sites; penalties cannot be interpreted as taxon coverage."
"MOLLCOI253","MollCOI253",67352,315347,67037,0.995323078750445,59598,0.884873500415726,59388,0.881755552916023,283.7,525.2,791.1,998.462586044322,1470.08000000001,0,0.992237489055028,TRUE,"usable",""
