"display_group_type","display_group","pair_id","pair_label","n_centroids","source_records_represented","n_forward_scorable","forward_scorable_fraction","n_reverse_scorable","reverse_scorable_fraction","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_mean_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable","group_definition","group_caveat","reference_suitable","reference_suitability"
"Composite clade","Acari","ANML","ANML",1732,6100,0,0,1706,0.984988452655889,0,0,,113.55,,,,,,"Ixodida | Mesostigmata | Sarcoptiformes | Trombidiformes | Opilioacarida | Holothyrida","Acari is a composite arachnid clade here, not a single modern order.",FALSE,"binding-region incomplete"
"Composite clade","Collembola","ANML","ANML",356,5823,3,0.00842696629213483,349,0.980337078651685,3,0.00842696629213483,115.15,147.45,193.8,216.95,261.72,0,0.333333333333333,"Entomobryomorpha | Poduromorpha | Symphypleona | Neelipleona","Collembola is a composite hexapod clade here, not a single modern order.",FALSE,"binding-region incomplete"
"Lepidoptera study lens","Boundary / convention-sensitive moths","ANML","ANML",158,356,0,0,158,1,0,0,,12.775,,,,,,"Castniidae | Megalopygidae | Mimallonidae | Sesiidae | Thyrididae | Zygaenidae","Large-bodied families whose micro/macro placement varies by convention.",FALSE,"binding-region incomplete"
"Lepidoptera study lens","Butterflies (Papilionoidea)","ANML","ANML",733,1894,3,0.00409276944065484,728,0.993178717598909,3,0.00409276944065484,66.4,60.2,75,151.833333333333,260.72,0,0.333333333333333,"Hedylidae | Hesperiidae | Lycaenidae | Nymphalidae | Papilionidae | Pieridae | Riodinidae","Butterflies are shown separately instead of being forced into a moth size bin.",FALSE,"binding-region incomplete"
"Lepidoptera study lens","Macroheterocera (macro-moth core)","ANML","ANML",2397,6296,13,0.00542344597413433,2375,0.990821860659157,13,0.00542344597413433,64.8,50.2,64.8,67.45,87.87,0,0,"Apatelodidae | Bombycidae | Drepanidae | Erebidae | Eupterotidae | Euteliidae | Geometridae | Lasiocampidae | Lemoniidae | Noctuidae | Nolidae | Notodontidae | Saturniidae | Sphingidae | Uraniidae","A phylogenetic macro-moth core; this is more defensible than a body-size cutoff.",FALSE,"binding-region incomplete"
"Lepidoptera study lens","Microlepidoptera (operational grade)","ANML","ANML",1522,6746,3,0.00197109067017083,1518,0.997371879106439,3,0.00197109067017083,88.8,14,164.9,168.933333333333,245.22,0,0.333333333333333,"Remaining represented Lepidoptera families after explicit butterfly, Macroheterocera, and boundary assignments.","Microlepidoptera is an operational, non-monophyletic grade.",FALSE,"binding-region incomplete"
"Composite clade","Acari","ARF","ARF1 + Fol-degen",1732,6100,1710,0.98729792147806,3,0.00173210161662818,1,0.000577367205542725,13.9,0,499.75,499.75,499.75,0,0,"Ixodida | Mesostigmata | Sarcoptiformes | Trombidiformes | Opilioacarida | Holothyrida","Acari is a composite arachnid clade here, not a single modern order.",FALSE,"binding-region incomplete"
"Composite clade","Collembola","ARF","ARF1 + Fol-degen",356,5823,350,0.98314606741573,0,0,0,0,0,,,,,,,"Entomobryomorpha | Poduromorpha | Symphypleona | Neelipleona","Collembola is a composite hexapod clade here, not a single modern order.",FALSE,"binding-region incomplete"
"Lepidoptera study lens","Boundary / convention-sensitive moths","ARF","ARF1 + Fol-degen",158,356,158,1,0,0,0,0,0,,,,,,,"Castniidae | Megalopygidae | Mimallonidae | Sesiidae | Thyrididae | Zygaenidae","Large-bodied families whose micro/macro placement varies by convention.",FALSE,"binding-region incomplete"
"Lepidoptera study lens","Butterflies (Papilionoidea)","ARF","ARF1 + Fol-degen",733,1894,729,0.994542974079127,17,0.0231923601637108,17,0.0231923601637108,0,0,0,2.30823529411765,7.84800000000001,0.88235294117647,0,"Hedylidae | Hesperiidae | Lycaenidae | Nymphalidae | Papilionidae | Pieridae | Riodinidae","Butterflies are shown separately instead of being forced into a moth size bin.",FALSE,"binding-region incomplete"
