"order","pair_id","pair_label","n_templates","n_pair_scorable","pair_scorable_fraction","unavailable_fraction","perfect_match_fraction_among_scorable","forward_median_penalty","forward_p90_penalty","reverse_median_penalty","reverse_p90_penalty","pair_median_penalty","pair_p90_penalty","terminal_1_mismatch_fraction","terminal_3_mismatch_fraction","adjacent_mismatch_fraction"
"Acari","ANML","ANML",251,3,0.0119521912350598,0.98804780876494,0,98.2,136.76,105.7,259.3,192.2,203.72,0,0,1
"Acari","ARF","ARF1 + Fol-degen",251,6,0.0239043824701195,0.97609561752988,0.5,13.9,96.9,0,0,9.3,19.05,0,0,0.166666666666667
"Acari","BEEPRIME","BeePrime",251,244,0.972111553784861,0.0278884462151394,0,363.2,812.36,80.85,259.499,452.825,991.53,0.39344262295082,0.565573770491803,0.983606557377049
"Acari","BF1_BR1","BF1 + BR1",251,248,0.98804780876494,0.0119521912350598,0.399193548387097,11.77,63.37,0,254.7,17.62,272.92,0,0.0685483870967742,0.032258064516129
"Acari","BF1_BR2","BF1 + BR2",251,10,0.0398406374501992,0.960159362549801,0.8,11.77,63.37,0,0,0,24.755,0,0,0
"Acari","BF2_BR1","BF2 + BR1",251,243,0.968127490039841,0.0318725099601594,0.358024691358025,20.4,202.49,0,254.7,20.4,509.240000000001,0,0.065843621399177,0.201646090534979
"Acari","BF2_BR2","BF2 + BR2",251,6,0.0239043824701195,0.97609561752988,0.5,20.4,202.49,0,0,12.4,25.55,0,0,0.166666666666667
"Acari","BF3_BR2","BF3 + BR2",251,6,0.0239043824701195,0.97609561752988,0.833333333333333,0,123.2,0,0,0,99.05,0,0.166666666666667,0
"Acari","BR5_ARR5","BR5",251,244,0.972111553784861,0.0278884462151394,0.55327868852459,0,96.9,0,0,0,165.2,0,0,0.102459016393443
"Acari","F230R","F230R",251,3,0.0119521912350598,0.98804780876494,0,98.2,136.76,0,278.625,153.3,157.18,0,0,1
"Acari","FISH_F2_R1","FishF2 + FishR1",251,2,0.00796812749003984,0.99203187250996,0,266.45,307.76,128.3,169.57,396.625,410.325,0,1,0.5
"Acari","FOLMER","Folmer barcode",251,1,0.00398406374501992,0.99601593625498,0,98.2,136.76,102.75,131.99,98.2,98.2,0,0,1
"Acari","FWH1","fwh1",251,3,0.0119521912350598,0.98804780876494,0.666666666666667,0,43.6,0,70.9200000000002,0,43.6,0,0,0.333333333333333
"Acari","FWH2","fwh2",251,247,0.98406374501992,0.0159362549800797,0.157894736842105,20.15,94.87,30.1,193.8,75.25,238.668,0,0.161943319838057,0.048582995951417
"Acari","FWH2_EPTDR2N","fwh2 + EPTDr2n",251,247,0.98406374501992,0.0159362549800797,0.0121457489878543,20.15,94.87,491.3,1539.74,556.75,1617.618,0.0607287449392713,0.194331983805668,0.582995951417004
"Acari","HEXCOI","HexCOI",251,243,0.968127490039841,0.0318725099601594,0.45679012345679,0,189.616,0,124.836,20.4,458.05,0,0,0.17283950617284
"Acari","MCO","Leray 313",251,10,0.0398406374501992,0.960159362549801,0.6,40.25,201.712,0,0,0,53.965,0,0,0
"Acari","LERAY_XT","Leray-XT",251,10,0.0398406374501992,0.960159362549801,0.9,11.77,182.462,0,0,0,0.644999999999998,0,0,0
"Acari","MOLLCOI253","MollCOI253",251,248,0.98804780876494,0.0119521912350598,0,265.5,411.295,498.25,725.8,765.525,1066.44,0,0.975806451612903,0.879032258064516
"Acari","NOPLANT","NoPlant",251,245,0.97609561752988,0.0239043824701195,0.159183673469388,0,241.36,29.38,143.95,75.25,312.79,0,0.118367346938776,0.0979591836734694
"Acari","NOSPI2_LAURELIN","NoSpi2 + Laurelin",251,246,0.9800796812749,0.0199203187250996,0.235772357723577,0,239,30.1,241.63,93.045,370.835,0.032520325203252,0.288617886178862,0.0365853658536585
"Acari","NOSPID","Spidprey",251,246,0.9800796812749,0.0199203187250996,0.211382113821138,21.65,484.8,22.4,216.99,117.4,547.3,0.126016260162602,0.288617886178862,0.0772357723577236
"Acari","VERT","Vertebrate COI",251,1,0.00398406374501992,0.99601593625498,0,131.1,131.1,49.85,227.04,180.95,180.95,0,0,0
"Acari","ZBJ_ART","ZBJ-Art",251,16,0.0637450199203187,0.936254980079681,0,112.6,427.66,119.85,272.466,207.4,552.885,0.125,0.5,0.3125
"Acari","ZBJ_ART_DEG","ZBJ-Art degenerate",251,16,0.0637450199203187,0.936254980079681,0,82.2,378.545,7.85,101.435,106.025,389.42,0.125,0.25,0.25
"Amphipoda","ANML","ANML",24,9,0.375,0.625,0,149.1,198.5,163.475,254.39,306.75,407.78,0,1,1
"Amphipoda","ARF","ARF1 + Fol-degen",24,14,0.583333333333333,0.416666666666667,0,50.1,61.87,0,0,50.1,61.87,0,0,1
"Amphipoda","BEEPRIME","BeePrime",24,24,1,0,0,690.925,825.75,88.25,293.094,863.485,996.851,1,1,1
"Amphipoda","BF1_BR1","BF1 + BR1",24,24,1,0,0.208333333333333,18.62,142.4,0,90.3,29.38,163.891,0,0.0833333333333333,0
