"pair_id","pair_label","source_group","family","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Acari","Acaridae",1,1,1,1,120.07,313.65,433.72,433.72,0,1
"ZBJ_ART","ZBJ-Art","Acari","Allothyridae",1,1,1,1,81.55,6.45,88,88,0,0
"ZBJ_ART","ZBJ-Art","Acari","Ameronothridae",1,1,1,1,166.47,5.1,171.57,171.57,0,1
"ZBJ_ART","ZBJ-Art","Acari","Argasidae",38,24,38,1,211.325,174.05,378.25,560.291,0,0.81578947368421
"ZBJ_ART","ZBJ-Art","Acari","Arrenuridae",1,1,1,1,249.5,0,249.5,249.5,0,1
"ZBJ_ART","ZBJ-Art","Acari","Blattisociidae",2,2,2,1,580.475,28.575,609.05,648.05,0,1
"ZBJ_ART","ZBJ-Art","Acari","Demodicidae",1,1,1,1,1229.05,116.82,1345.87,1345.87,0,1
"ZBJ_ART","ZBJ-Art","Acari","Dermanyssidae",1,1,1,1,990.4,199.5,1189.9,1189.9,0,1
"ZBJ_ART","ZBJ-Art","Acari","Ereynetidae",1,1,1,1,288.65,29.45,318.1,318.1,0,1
"ZBJ_ART","ZBJ-Art","Acari","Eriophyidae",3,3,3,1,196.95,219.1,222.2,422.32,0,0.666666666666667
"ZBJ_ART","ZBJ-Art","Acari","Eviphididae",2,2,0,0,,91.575,,,,
"ZBJ_ART","ZBJ-Art","Acari","Fortuyniidae",1,1,1,1,40.85,136.62,177.47,177.47,0,1
"ZBJ_ART","ZBJ-Art","Acari","Glycyphagidae",1,1,1,1,100.45,192.5,292.95,292.95,0,0
"ZBJ_ART","ZBJ-Art","Acari","Haemogamasidae",2,2,2,1,278.12,56.075,334.195,336.919,0,1
"ZBJ_ART","ZBJ-Art","Acari","Histiostomatidae",1,1,1,1,239,377.5,616.5,616.5,0,1
"ZBJ_ART","ZBJ-Art","Acari","Hygrobatidae",1,1,1,1,112.95,103.1,216.05,216.05,0,1
