"pair_id","pair_label","source_group","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Acari",244,134,239,0.979508196721312,100,105.65,234.92,561.87,0,0.702928870292887
"ZBJ_ART","ZBJ-Art","Coleoptera",228,211,211,0.925438596491228,89.55,93.485,219.2,514.35,0.00947867298578199,0.535545023696682
"ZBJ_ART","ZBJ-Art","Collembola",61,56,61,1,172.65,142.05,357.95,520.25,0,0.737704918032787
"ZBJ_ART","ZBJ-Art","Hymenoptera",198,137,194,0.97979797979798,513.4,64.125,653.86,893.54,0,0.721649484536082
"ZBJ_ART","ZBJ-Art","Lepidoptera",241,129,241,1,0,5.1,14.65,95.65,0.369294605809129,0.0746887966804979
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari",244,134,239,0.979508196721312,78,10.75,88.75,251.642,0.00418410041841004,0.158995815899582
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera",228,211,211,0.925438596491228,0,6.45,11.2,160.8,0.322274881516588,0.0947867298578199
"ZBJ_ART_DEG","ZBJ-Art degenerate","Collembola",61,56,61,1,81.85,7.85,99.5,307.55,0.0327868852459016,0.147540983606557
"ZBJ_ART_DEG","ZBJ-Art degenerate","Hymenoptera",198,137,194,0.97979797979798,491.75,19.05,544.15,812.87,0.0309278350515464,0.587628865979381
"ZBJ_ART_DEG","ZBJ-Art degenerate","Lepidoptera",241,129,241,1,0,0,0,11.2,0.663900414937759,0.004149377593361
