"pair_id","pair_label","source_group","family","subfamily","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Acari","Acaridae","Rhizoglyphinae",1,1,1,1,120.07,313.65,433.72,433.72,0,1
"ZBJ_ART","ZBJ-Art","Acari","Argasidae","Argasinae",8,5,8,1,131.75,92.4,325.025,461.33,0,0.625
"ZBJ_ART","ZBJ-Art","Acari","Argasidae","Ornithodorinae",30,19,30,1,222.8,174.05,396.625,580.913,0,0.866666666666667
"ZBJ_ART","ZBJ-Art","Acari","Eriophyidae","Eriophyinae",1,1,1,1,3.1,219.1,222.2,222.2,0,1
"ZBJ_ART","ZBJ-Art","Acari","Eriophyidae","Phyllocoptinae",2,2,2,1,209.55,135.8,345.35,446.95,0,0.5
"ZBJ_ART","ZBJ-Art","Acari","Ixodidae","Amblyomminae",33,17,32,0.96969696969697,84.35,90,171.55,409.445,0,0.625
"ZBJ_ART","ZBJ-Art","Acari","Ixodidae","Haemaphysalinae",55,13,55,1,81.55,84.9,166.45,234.8,0,0.545454545454545
"ZBJ_ART","ZBJ-Art","Acari","Ixodidae","Hyalomminae",2,2,2,1,81.55,120.935,202.485,265.657,0,0.5
"ZBJ_ART","ZBJ-Art","Acari","Ixodidae","Ixodinae",24,18,24,1,81.55,148.435,256.45,611.034,0,0.708333333333333
"ZBJ_ART","ZBJ-Art","Acari","Ixodidae","Rhipicephalinae",43,15,43,1,103.2,174.9,257.2,421.65,0,0.72093023255814
"ZBJ_ART","ZBJ-Art","Acari","Parasitidae","Parasitinae",1,1,0,0,,194.1,,,,
"ZBJ_ART","ZBJ-Art","Acari","Phytoseiidae","Amblyseiinae",2,2,2,1,501.875,86.375,588.25,650.85,0,1
"ZBJ_ART","ZBJ-Art","Acari","Phytoseiidae","Typhlodrominae",1,1,1,1,2023.6,60.95,2084.55,2084.55,0,1
"ZBJ_ART","ZBJ-Art","Acari","Pyroglyphidae","Dermatophagoidinae",1,1,1,1,85.6,121.7,207.3,207.3,0,1
"ZBJ_ART","ZBJ-Art","Acari","Sarcoptidae","Sarcoptinae",2,1,2,1,20.4,22.9,43.3,43.3,0,0
"ZBJ_ART","ZBJ-Art","Acari","Unionicolidae","Pionatacinae",1,1,1,1,360.22,130.5,490.72,490.72,0,0
