"order","environment_group","query","requested_subset","downloaded_sequences","consensus_clusters","aligned_sequences_including_reference","reference_accession","reference_feature_coordinates","reference_length_bp","clustering_identity","status","note","raw_fasta","cluster_consensus_fasta","reference_aligned_fasta","built_at_utc"
"Acari","terrestrial","Acari[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 600:800[Sequence Length]",299,299,251,252,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Acari/Acari_GB.fasta","data/primerminer/clustered/Acari/Acari_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Acari_COX1_reference_aligned.fasta","2026-07-28 23:51:11 UTC"
"Amphipoda","aquatic","Amphipoda[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,24,25,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Amphipoda/Amphipoda_GB.fasta","data/primerminer/clustered/Amphipoda/Amphipoda_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Amphipoda_COX1_reference_aligned.fasta","2026-07-28 20:22:22 UTC"
"Araneae","terrestrial","Araneae[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,46,47,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Araneae/Araneae_GB.fasta","data/primerminer/clustered/Araneae/Araneae_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Araneae_COX1_reference_aligned.fasta","2026-07-28 20:22:29 UTC"
"Bivalvia","aquatic","Bivalvia[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,21,22,"NC_001322.1","1474-3009",1536,0.97,"complete","","data/primerminer/raw/Bivalvia/Bivalvia_GB.fasta","data/primerminer/clustered/Bivalvia/Bivalvia_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Bivalvia_COX1_reference_aligned.fasta","2026-07-29 23:24:11 UTC"
"Blattodea","terrestrial","Blattodea[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,21,22,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Blattodea/Blattodea_GB.fasta","data/primerminer/clustered/Blattodea/Blattodea_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Blattodea_COX1_reference_aligned.fasta","2026-07-28 20:22:34 UTC"
"Coleoptera","both","Coleoptera[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,46,47,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Coleoptera/Coleoptera_GB.fasta","data/primerminer/clustered/Coleoptera/Coleoptera_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Coleoptera_COX1_reference_aligned.fasta","2026-07-28 20:22:42 UTC"
"Collembola","terrestrial","Collembola[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 600:800[Sequence Length]",299,299,159,160,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Collembola/Collembola_GB.fasta","data/primerminer/clustered/Collembola/Collembola_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Collembola_COX1_reference_aligned.fasta","2026-07-28 23:51:22 UTC"
"Decapoda","both","Decapoda[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,30,31,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Decapoda/Decapoda_GB.fasta","data/primerminer/clustered/Decapoda/Decapoda_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Decapoda_COX1_reference_aligned.fasta","2026-07-28 20:22:49 UTC"
"Diptera","both","Diptera[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,50,31,32,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Diptera/Diptera_GB.fasta","data/primerminer/clustered/Diptera/Diptera_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Diptera_COX1_reference_aligned.fasta","2026-07-28 20:22:55 UTC"
"Ephemeroptera","aquatic","Ephemeroptera[Organism] AND (COI[Gene] OR CO1[Gene] OR COX1[Gene] OR COXI[Gene]) AND 1200:1800[Sequence Length]",50,9,9,10,"NC_001322.1","1474-3009",1536,0.97,"complete",,"data/primerminer/raw/Ephemeroptera/Ephemeroptera_GB.fasta","data/primerminer/clustered/Ephemeroptera/Ephemeroptera_GB_cons_cluster_Majority.fasta","data/primerminer/aligned_reference/Ephemeroptera_COX1_reference_aligned.fasta","2026-07-28 20:23:00 UTC"
