"pair_id","pair_label","use_case","target","forward_primer","reverse_primer","forward_start","forward_end","reverse_start","reverse_end","pair_start","pair_end","aligned_amplicon_bp","targeted_region_start","targeted_region_end","targeted_region_bp","folmer_overlap_bp","folmer_coverage_fraction","reference_accession","sources","folmer_overlap_rank","marker_id","placement_status","forward_identity","reverse_identity"
"FOLMER","Folmer barcode","regular barcoding","Metazoa","LCO1490","HCO2198",17,41,700,725,17,725,709,42,699,658,658,1,"NC_001322.1","folmer1994",1,"COI","sequence_aligned",,
"FISH_F2_R1","FishF2 + FishR1","fish barcoding / eDNA","Fishes","FishF2","FishR1",19,44,700,725,19,725,707,45,699,655,655,0.995440729483283,"NC_001322.1","ward2005",2,"COI","sequence_aligned",,
"BF2_BR2","BF2 + BR2","freshwater metabarcoding","Freshwater invertebrates","BF2","BR2",259,278,700,719,259,719,461,279,699,421,421,0.639817629179331,"NC_001322.1","elbrecht2017b",3,"COI","sequence_aligned",,
"ARF","ARF1 + Fol-degen","bulk arthropods","Arthropoda","ARF1","Fol-degen-rev",259,281,700,725,259,725,467,282,699,418,418,0.635258358662614,"NC_001322.1","gibson2014, yu2012",4,"COI","sequence_aligned",,
"BF3_BR2","BF3 + BR2","bulk arthropods","Terrestrial arthropods","BF3","BR2",262,281,700,719,262,719,458,282,699,418,418,0.635258358662614,"NC_001322.1","elbrecht2019",5,"COI","sequence_aligned",,
"BF2_BR1","BF2 + BR1","freshwater metabarcoding","Freshwater macroinvertebrates","BF2","BR1",259,278,601,620,259,620,362,279,600,322,322,0.48936170212766,"NC_001322.1","elbrecht2017b",6,"COI","sequence_aligned",,
"HEXCOI","HexCOI","insect metabarcoding","Hexapoda","HexCOIF4","HexCOIR4",261,278,601,618,261,618,358,279,600,322,322,0.48936170212766,"NC_001322.1","marquina2019",7,"COI","sequence_aligned",,
"BF1_BR2","BF1 + BR2","freshwater metabarcoding","Freshwater macroinvertebrates","BF1","BR2",364,383,700,719,364,719,356,384,699,316,316,0.480243161094225,"NC_001322.1","elbrecht2017b",8,"COI","sequence_aligned",,
"MCO","Leray 313","broad metabarcoding","Metazoa / Arthropoda","mlCOIintF","Fol-degen-rev",361,386,700,725,361,725,365,387,699,313,313,0.475683890577508,"NC_001322.1","leray2013, yu2012",9,"COI","sequence_aligned",,
"LERAY_XT","Leray-XT","eDNA / broad metabarcoding","Eukaryota / Metazoa","mICOIintF-XT","jgHCO2198",361,386,700,725,361,725,365,387,699,313,313,0.475683890577508,"NC_001322.1","wangensteen2018, geller2013",10,"COI","sequence_aligned",,
"BR5_ARR5","BR5","freshwater metabarcoding","Freshwater benthic macroinvertebrates","B","ArR5",262,281,592,614,262,614,353,282,591,310,310,0.47112462006079,"NC_001322.1","hajibabaei2019",11,"COI","sequence_aligned",,
"VERT","Vertebrate COI","vertebrate diet metabarcoding","Vertebrata","Mod_RepCOI_F","VERTCOI_7216_R",14,35,280,302,14,302,289,36,279,244,238,0.361702127659574,"NC_001322.1","reeves2018",12,"COI","sequence_aligned",,
"F230R","F230R","freshwater metabarcoding","Metazoan invertebrates / Arthropods","LCO1490","230_R",17,41,271,296,17,296,280,42,270,229,229,0.348024316109422,"NC_001322.1","hajibabaei2019",13,"COI","sequence_aligned",,
"BF1_BR1","BF1 + BR1","freshwater metabarcoding","Freshwater invertebrates","BF1","BR1",364,383,601,620,364,620,257,384,600,217,217,0.329787234042553,"NC_001322.1","elbrecht2017b",14,"COI","sequence_aligned",,
"MOLLCOI253","MollCOI253","mollusk eDNA","Marine mollusks","MollCOI253_F","MollCOI253_R",355,374,590,607,355,607,253,375,589,215,215,0.326747720364742,"NC_001322.1","shi2024",15,"COI","sequence_aligned",,
"FWH2","fwh2","freshwater metabarcoding","Freshwater invertebrates","fwhF2","fwhR2n",361,386,592,614,361,614,254,387,591,205,205,0.311550151975684,"NC_001322.1","vamos2017",16,"COI","sequence_aligned",,
"BEEPRIME","BeePrime","bee eDNA metabarcoding","Bees (Apiformes)","BeePrimeF","BeePrimeR",132,161,361,383,132,383,252,162,360,199,199,0.302431610942249,"NC_001322.1","beeprime2026",17,"COI","sequence_aligned",,
"ANML","ANML","eDNA / broad metabarcoding","Animals","LCO1490","CO1-CFMRa",17,41,223,245,17,245,229,42,222,181,181,0.275075987841945,"NC_001322.1","folmer1994, jusino2019",18,"COI","sequence_aligned",,
"FWH1","fwh1","diet / degraded DNA","Arthropods and predator DNA","fwhF1","fwhR1",18,41,220,239,18,239,222,42,219,178,178,0.270516717325228,"NC_001322.1","vamos2017",19,"COI","sequence_aligned",,
"ZBJ_ART","ZBJ-Art","diet metabarcoding","Arthropoda","ZBJ-ArtF1c","ZBJ-ArtR2c",33,62,220,243,33,243,211,63,219,157,157,0.238601823708207,"NC_001322.1","zeale2011",20,"COI","sequence_aligned",,
"ZBJ_ART_DEG","ZBJ-Art degenerate","diet metabarcoding","Arthropoda","ZBJ-ArtF1c_deg","ZBJ-ArtR2c_deg",33,62,220,243,33,243,211,63,219,157,157,0.238601823708207,"NC_001322.1","elbrecht2019",21,"COI","sequence_aligned",,
"FWH2_EPTDR2N","fwh2 + EPTDr2n","freshwater water eDNA","Benthic macroinvertebrates","fwhF2","EPTDr2n",361,386,529,551,361,551,191,387,528,142,142,0.21580547112462,"NC_001322.1","vamos2017, leese2021",22,"COI","sequence_aligned",,
"NOSPID","Spidprey","spider gut content","Arthropod prey","Spidprey_F","Spidprey_R",270,292,364,384,270,384,115,293,363,71,71,0.10790273556231,"NC_001322.1","melcher2024",23,"COI","sequence_aligned",,
"NOSPI2_LAURELIN","NoSpi2 + Laurelin","spider gut content","Arthropod prey","NoSpi2_F","Laurelin_R",274,296,364,383,274,383,110,297,363,67,67,0.101823708206687,"NC_001322.1","lafage2020, cuff2021",24,"COI","sequence_aligned",,
"NOPLANT","NoPlant","plant-associated arthropods","Arthropoda","NoPlantF_270","mlCOIintR_W",270,296,361,385,270,385,116,297,360,64,64,0.0972644376899696,"NC_001322.1","krehenwinkel2022",25,"COI","sequence_aligned",,
"ITS1_ITS4","ITS1 + ITS4","barcoding / bulk_community","Fungi","ITS1","ITS4",3,21,720,739,3,739,737,22,719,698,0,,"FN812768.2","unite_primers",,"ITS_FUNGAL","sequence_aligned",1,1
"ITS1F_ITS4","ITS1F + ITS4","barcoding / bulk_community","Fungi","ITS1F","ITS4",456,477,720,739,456,739,284,478,719,242,0,,"FN812768.2","unite_primers",,"ITS_FUNGAL","reference_specific_low_confidence",0.5,1
"ITS1F_ITS4B","ITS1F + ITS4B","barcoding / bulk_community","Fungi","ITS1F","ITS4B",456,477,534,556,456,556,101,478,533,56,0,,"FN812768.2","unite_primers",,"ITS_FUNGAL","reference_specific_low_confidence",0.5,0.434782608695652
"ITS3_ITS4","ITS3 + ITS4","barcoding","Fungi","ITS3","ITS4",349,368,720,739,349,739,391,369,719,351,0,,"FN812768.2","unite_primers",,"ITS_FUNGAL","sequence_aligned",1,1
"FITS7_ITS4","fITS7 + ITS4","bulk_community / edna","Fungi","fITS7","ITS4",403,421,720,739,403,739,337,422,719,298,0,,"FN812768.2","unite_primers",,"ITS_FUNGAL","sequence_aligned",1,1
"GITS7_ITS4","gITS7 + ITS4","bulk_community / edna","Fungi","gITS7","ITS4",403,421,720,739,403,739,337,422,719,298,0,,"FN812768.2","unite_primers",,"ITS_FUNGAL","sequence_aligned",1,1
"ITS86F_ITS4","ITS86F + ITS4","bulk_community / edna","Fungi","ITS86F","ITS4",403,423,720,739,403,739,337,424,719,296,0,,"FN812768.2","unite_primers",,"ITS_FUNGAL","sequence_aligned",1,1
"ITS1F_LR21","ITS1F + LR21","barcoding","Fungi","ITS1F","LR21",456,477,662,680,456,680,225,478,661,184,0,,"FN812768.2","unite_primers",,"ITS_FUNGAL","reference_specific_low_confidence",0.5,0.526315789473684
