"marker_id","landmark_id","label","start","end","landmark_type","display_order","source_note"
"COI","COX1","COX1",1,1536,"gene",1,"NC_001322.1 COX1 coordinates"
"COI","FOLMER","Folmer region",42,699,"focus_region",2,"Folmer barcode reference region"
"ITS_FUNGAL","18S_ANCHOR","18S",1,25,"conserved_anchor",1,"FN812768.2 feature architecture; boundaries curated for the pilot display"
"ITS_FUNGAL","ITS1","ITS1",26,338,"variable_region",2,"FN812768.2 feature architecture; boundaries curated for the pilot display"
"ITS_FUNGAL","5_8S","5.8S",339,500,"conserved_gene",3,"FN812768.2 feature architecture; boundaries curated for the pilot display"
"ITS_FUNGAL","ITS2","ITS2",501,718,"variable_region",4,"FN812768.2 feature architecture; boundaries curated for the pilot display"
"ITS_FUNGAL","28S_ANCHOR","28S",719,739,"conserved_anchor",5,"FN812768.2 feature architecture; boundaries curated for the pilot display"
"18S","V1","V1",1,200,"variable_region",1,"Planned release-specific landmark alignment"
"18S","V2","V2",201,400,"variable_region",2,"Planned release-specific landmark alignment"
"18S","V3","V3",401,600,"variable_region",3,"Planned release-specific landmark alignment"
"18S","V4","V4",601,800,"variable_region",4,"Planned release-specific landmark alignment"
"18S","V5","V5",801,1000,"variable_region",5,"Planned release-specific landmark alignment"
"18S","V6","V6",1001,1200,"variable_region",6,"Planned release-specific landmark alignment"
"18S","V7","V7",1201,1400,"variable_region",7,"Planned release-specific landmark alignment"
"18S","V8","V8",1401,1600,"variable_region",8,"Planned release-specific landmark alignment"
"18S","V9","V9",1601,1800,"variable_region",9,"Planned release-specific landmark alignment"
"16S_PROK","V1","V1",1,175,"variable_region",1,"Planned release-specific landmark alignment"
"16S_PROK","V2","V2",176,350,"variable_region",2,"Planned release-specific landmark alignment"
"16S_PROK","V3","V3",351,525,"variable_region",3,"Planned release-specific landmark alignment"
"16S_PROK","V4","V4",526,700,"variable_region",4,"Planned release-specific landmark alignment"
"16S_PROK","V5","V5",701,875,"variable_region",5,"Planned release-specific landmark alignment"
"16S_PROK","V6","V6",876,1050,"variable_region",6,"Planned release-specific landmark alignment"
"16S_PROK","V7","V7",1051,1225,"variable_region",7,"Planned release-specific landmark alignment"
"16S_PROK","V8","V8",1226,1400,"variable_region",8,"Planned release-specific landmark alignment"
"16S_PROK","V9","V9",1401,1575,"variable_region",9,"Planned release-specific landmark alignment"
"28S","D1","D1",1,400,"domain",1,"Planned release-specific landmark alignment"
"28S","D2","D2",401,800,"domain",2,"Planned release-specific landmark alignment"
"28S","D3","D3",801,1200,"domain",3,"Planned release-specific landmark alignment"
"28S","D4","D4",1201,1600,"domain",4,"Planned release-specific landmark alignment"
